Experiment commencing at 2024-07-12T17:26:50.827438
2024-07-12 17:27:17.030808 PressureTestState 21.43
2024-07-12 17:27:17.072787 PressureTestState 7.69
2024-07-12 17:27:17.112760 PressureTestState 6.25
2024-07-12 17:27:17.150738 PressureTestState 4.89
2024-07-12 17:27:17.224697 PressureTestState 20.3
2024-07-12 17:27:17.261674 PressureTestState 6.65
2024-07-12 17:27:17.301676 PressureTestState 6.32
2024-07-12 17:27:17.340634 PressureTestState 2.27
2024-07-12 17:27:17.385635 PressureTestState 20.45
2024-07-12 17:27:17.422623 PressureTestState 2.17
2024-07-12 17:27:17.462561 PressureTestState 13.85
2024-07-12 17:27:17.514533 PressureTestState 2.27
2024-07-12 17:27:17.554511 PressureTestState 530.0
2024-07-12 17:27:17.612474 PressureTestState 47.92
2024-07-12 17:27:17.655481 PressureTestState 26.25
2024-07-12 17:27:17.708420 PressureTestState 0.41
2024-07-12 17:27:17.748420 PressureTestState 8.84
2024-07-12 17:27:17.793396 PressureTestState 2.24
2024-07-12 17:27:17.831367 PressureTestState 2.42
2024-07-12 17:27:17.871352 PressureTestState 37.84
2024-07-12 17:27:17.911329 PressureTestState 31.91
2024-07-12 17:27:17.951308 PressureTestState 8721374019.97
2024-07-12 17:27:17.993280 PressureTestState 4.48
2024-07-12 17:27:18.032234 PressureTestState 10.0
2024-07-12 17:27:18.072211 PressureTestState 7.84
2024-07-12 17:27:18.111215 PressureTestState 7.46
2024-07-12 17:27:18.151189 PressureTestState 4.84
2024-07-12 17:27:18.190171 PressureTestState 13.93
2024-07-12 17:27:18.242114 PressureTestState 5.0
2024-07-12 17:27:18.283090 PressureTestState 6.82
2024-07-12 17:27:18.323093 PressureTestState 6.35
2024-07-12 17:27:18.362046 PressureTestState 32.14
2024-07-12 17:27:18.401024 PressureTestState 40.0
2024-07-12 17:27:18.434007 PressureTestState 50.0
2024-07-12 17:27:18.473009 PressureTestState 12.74
2024-07-12 17:27:18.513962 PressureTestState 25.0
2024-07-12 17:27:18.554961 PressureTestState 38.46
2024-07-12 17:27:18.594940 PressureTestState 4.63
2024-07-12 17:27:18.639939 PressureTestState 183.33
2024-07-12 17:27:18.680893 PressureTestState 20.0
2024-07-12 17:27:18.721866 PressureTestState 10.61
2024-07-12 17:27:18.761845 PressureTestState 10.0
2024-07-12 17:27:18.801797 PressureTestState 47.62
2024-07-12 17:27:18.840774 PressureTestState 100.0
2024-07-12 17:27:18.879751 PressureTestState 9.24
2024-07-12 17:27:18.918727 PressureTestState 11.47
2024-07-12 17:27:18.954729 PressureTestState 66.67
2024-07-12 17:27:18.991686 PressureTestState 4.17
2024-07-12 17:27:19.033689 PressureTestState 14.84
2024-07-12 17:27:19.072662 PressureTestState 42.86
2024-07-12 17:27:19.111635 PressureTestState 7.42
2024-07-12 17:27:19.151594 PressureTestState 3.85
2024-07-12 17:27:19.195570 PressureTestState 122.73
2024-07-12 17:27:19.241542 PressureTestState 77.94
2024-07-12 17:27:19.282519 PressureTestState 17.31
2024-07-12 17:27:19.323495 PressureTestState 23.17
2024-07-12 17:27:19.361498 PressureTestState 28.85
2024-07-12 17:27:19.401477 PressureTestState 1.25
2024-07-12 17:27:19.441451 PressureTestState 6.25
2024-07-12 17:27:19.482404 PressureTestState 5.37
2024-07-12 17:27:19.521383 PressureTestState 6.3
2024-07-12 17:27:19.560360 PressureTestState 9.56
2024-07-12 17:27:19.614329 PressureTestState 0.0
2024-07-12 17:27:19.654306 PressureTestState 10.94
2024-07-12 17:27:19.691284 PressureTestState 1.36
2024-07-12 17:27:19.739257 PressureTestState 21.53
2024-07-12 17:27:19.780234 PressureTestState 8.51
2024-07-12 17:27:19.822209 PressureTestState 3.18
2024-07-12 17:27:19.861187 PressureTestState 4.57
2024-07-12 17:27:19.900165 PressureTestState 383.33
2024-07-12 17:27:19.939142 PressureTestState 8.06
2024-07-12 17:27:19.975122 PressureTestState 16.67
2024-07-12 17:27:20.012101 PressureTestState 1.72
2024-07-12 17:27:20.057076 PressureTestState 0.82
2024-07-12 17:27:20.098052 PressureTestState 0.69
2024-07-12 17:27:20.142027 PressureTestState 10.79
2024-07-12 17:27:20.186002 PressureTestState 11.11
2024-07-12 17:27:20.238971 PressureTestState 3.43
2024-07-12 17:27:20.281948 PressureTestState 35.71
2024-07-12 17:27:20.320950 PressureTestState 6.9
2024-07-12 17:27:20.363903 PressureTestState 70.97
2024-07-12 17:27:20.403880 PressureTestState 6.19
2024-07-12 17:27:20.442855 PressureTestState 14.47
2024-07-12 17:27:20.481836 PressureTestState 6.85
2024-07-12 17:27:20.520811 PressureTestState 4.55
2024-07-12 17:27:20.556812 PressureTestState 0.37
2024-07-12 17:27:20.591770 PressureTestState 76.19
2024-07-12 17:27:20.631746 PressureTestState 15.2
2024-07-12 17:27:20.673724 PressureTestState 2.41
2024-07-12 17:27:20.727691 PressureTestState 237.5
2024-07-12 17:27:20.780661 PressureTestState 7.22
